Rank,City,State,RecentCensus,Census,Percentage_change,Land_area,Population_density,Longitude,Latitude
236,Arvada,Colorado,"117,453","106,433",10.35%,38.6 sq mi,3043,39.83,105.15
237,Independence,Missouri,"117,030","116,830",0.17%,77.8 sq mi,1504,39.09,94.35
238,Provo,Utah,"116,868","112,488",3.89%,41.7 sq mi,2803,40.25,111.64
239,Lansing,Michigan,"116,020","114,297",1.51%,39.1 sq mi,2967,42.71,84.56
240,El Monte,California,"115,807","113,475",2.06%,9.6 sq mi,12063,34.07,118.03
241,Springfield,Illinois,"115,715","116,250",_0.46%,60.1 sq mi,1925,39.79,89.64
242,Fairfield,California,"114,756","105,321",8.96%,40.9 sq mi,2806,38.26,122.03
243,Clearwater,Florida,"114,361","107,685",6.20%,25.9 sq mi,4415,27.98,82.77
244,Peoria,Illinois,"114,265","115,007",_0.65%,48.2 sq mi,2371,40.75,89.62
245,Rochester,Minnesota,"114,011","106,769",6.78%,54.6 sq mi,2088,44.02,92.48
246,Carlsbad,California,"113,952","105,328",8.19%,37.7 sq mi,3023,33.12,117.28
247,Westminster,Colorado,"113,875","106,114",7.31%,31.7 sq mi,3592,39.88,105.06
248,West Jordan,Utah,"113,699","103,712",9.63%,32.3 sq mi,3520,40.6,112
249,Pearland,Texas,"113,570","91,252",24.46%,46.3 sq mi,2453,29.56,95.32
250,Richardson,Texas,"113,347","99,223",14.23%,28.6 sq mi,3963,32.97,96.71
251,Downey,California,"113,267","111,772",1.34%,12.4 sq mi,9134,33.94,118.13
252,Miami Gardens,Florida,"113,058","107,167",5.50%,18.2 sq mi,6212,25.95,80.24
253,Temecula,California,"113,054","100,097",12.94%,37.3 sq mi,3031,33.49,117.13
254,Costa Mesa,California,"112,822","109,960",2.60%,15.7 sq mi,7186,33.67,117.91
255,College Station,Texas,"112,141","93,857",19.48%,51.0 sq mi,2199,30.59,96.3
256,Elgin,Illinois,"112,123","108,188",3.64%,37.4 sq mi,2998,42.04,88.32
257,Murrieta,California,"111,674","103,466",7.93%,33.6 sq mi,3324,33.57,117.19
258,Gresham,Oregon,"111,523","105,594",5.61%,23.3 sq mi,4786,45.5,122.44
259,High Point,North Carolina,"111,223","104,371",6.57%,55.2 sq mi,2015,35.99,79.99
260,Antioch,California,"110,898","102,372",8.33%,29.4 sq mi,3772,37.98,121.8
261,Inglewood,California,"110,654","109,673",0.89%,9.1 sq mi,12160,33.96,118.34
262,Cambridge,Massachusetts,"110,651","105,162",5.22%,6.4 sq mi,17289,42.38,71.12
263,Lowell,Massachusetts,"110,558","106,519",3.79%,13.6 sq mi,8129,42.64,71.32
264,Manchester,New Hampshire,"110,506","109,565",0.86%,33.1 sq mi,3339,42.98,71.44
265,Billings,Montana,"110,323","104,170",5.91%,43.7 sq mi,2525,45.79,108.55
266,Pueblo,Colorado,"110,291","106,595",3.47%,53.6 sq mi,2058,38.27,104.61
267,Palm Bay,Florida,"110,104","103,190",6.70%,65.7 sq mi,1676,27.99,80.66
268,Centennial,Colorado,"109,932","100,377",9.52%,29.5 sq mi,3727,39.59,104.87
269,Richmond,California,"109,813","103,701",5.89%,30.1 sq mi,3648,37.95,122.36
270,Ventura,California,"109,592","106,433",2.97%,21.8 sq mi,5027,34.27,119.25
271,Pompano Beach,Florida,"109,393","99,845",9.56%,24.0 sq mi,4558,26.24,80.13
272,North Charleston,South Carolina,"109,298","97,471",12.13%,73.7 sq mi,1483,32.92,80.07
273,Everett,Washington,"109,043","103,019",5.85%,33.3 sq mi,3275,47.96,122.19
274,Waterbury,Connecticut,"108,272","110,366",_1.90%,28.5 sq mi,3799,41.56,73.04
275,West Palm Beach,Florida,"108,161","99,919",8.25%,55.1 sq mi,1963,26.75,80.13
276,Boulder,Colorado,"108,090","97,385",10.99%,24.8 sq mi,4358,40.03,105.25
277,West Covina,California,"107,847","106,098",1.65%,16.0 sq mi,6740,34.06,117.91
278,Broken Arrow,Oklahoma,"107,403","98,850",8.65%,61.7 sq mi,1741,36.04,95.78
279,Clovis,California,"106,583","95,631",11.45%,24.2 sq mi,4404,36.83,119.68
280,Daly City,California,"106,472","101,123",5.29%,7.6 sq mi,14009,37.7,122.47
281,Lakeland,Florida,"106,420","97,422",9.24%,65.9 sq mi,1615,28.06,81.95
282,Santa Maria,California,"106,290","99,553",6.77%,22.8 sq mi,4662,34.93,120.44
283,Norwalk,California,"106,178","105,549",0.60%,9.7 sq mi,10946,33.91,118.08
284,Sandy Springs,Georgia,"105,703","93,853",12.63%,37.7 sq mi,2804,33.93,84.37
285,Hillsboro,Oregon,"105,164","91,611",14.79%,25.0 sq mi,4207,45.53,122.94
286,Green Bay,Wisconsin,"105,139","104,057",1.04%,45.4 sq mi,2316,44.52,87.98
287,Tyler,Texas,"104,798","96,900",8.15%,56.6 sq mi,1852,32.32,95.31
288,Wichita Falls,Texas,"104,724","104,553",0.16%,72.2 sq mi,1450,33.91,98.53
289,Lewisville,Texas,"104,659","95,290",9.83%,36.7 sq mi,2852,33.05,96.98
290,Burbank,California,"104,447","103,340",1.07%,17.4 sq mi,6003,34.19,118.33
291,Greeley,Colorado,"103,990","92,889",11.95%,47.8 sq mi,2176,40.42,104.77
292,San Mateo,California,"103,959","97,207",6.95%,12.1 sq mi,8592,37.56,122.31
293,El Cajon,California,"103,768","99,478",4.31%,14.5 sq mi,7156,32.8,116.96
294,Jurupa Valley,California,"103,541","103,541",0%,42.9 sq mi,2414,34,117.47
295,Rialto,California,"103,314","99,171",4.18%,22.3 sq mi,4633,34.11,117.39
296,Davenport,Iowa,"102,612","99,685",2.94%,62.9 sq mi,1631,41.55,90.6
297,League City,Texas,"102,010","83,560",22.08%,51.2 sq mi,1992,29.49,95.11
298,Edison,New Jersey,"101,996","99,967",2.03%,30.1 sq mi,3389,40.5,74.35
